cat,month,n,no,ng,S_all,recon,resid,SA,SB,D,pi
cs.CL,2025-01,50,22,28,1.132512486310286,1.1325124863102862,-2.220446049250313e-16,1.1362804195543699,1.1130235305009057,1.1430586433176928,0.56
cs.CL,2025-04,50,20,30,1.1486799678277866,1.1486799678277866,0.0,1.1967268300812413,1.1096500083442797,1.1617618487397352,0.6
cs.CL,2025-07,50,17,33,1.1355987845734141,1.1355987845734141,0.0,1.166708076855711,1.1173510854679403,1.14523144299997,0.66
cs.CL,2025-12,50,17,33,1.0961623990891312,1.096162399089131,2.220446049250313e-16,1.1288952683621816,1.0775999784584156,1.105697671588031,0.66
cs.CR,2024-02,50,39,11,1.186460974698933,1.1864609746989325,4.440892098500626e-16,1.1987798743771392,1.036100669423677,1.1844598374695339,0.22
cs.CR,2024-03,50,40,10,1.163019011845036,1.1630190118450359,2.220446049250313e-16,1.1774992900200751,1.0104887888373333,1.1519421194920765,0.2
cs.CR,2024-04,50,37,13,1.181027219130156,1.1810272191301563,-2.220446049250313e-16,1.2004390880740297,0.9976727821009288,1.183882398697017,0.26
cs.CR,2024-05,50,40,10,1.198464972943266,1.198464972943266,0.0,1.2086562939125354,1.1001609225396387,1.1896511027235988,0.2
cs.CR,2024-06,50,39,11,1.1958938660500913,1.1958938660500913,0.0,1.2216021189463988,0.9491679984869033,1.1831202234389293,0.22
cs.CR,2024-07,50,39,11,1.1878128375639494,1.1878128375639496,-2.220446049250313e-16,1.2023177258668827,0.9807290213127702,1.1893081467978457,0.22
cs.CR,2024-09,50,40,10,1.1845827090626737,1.1845827090626737,0.0,1.2029382319601967,0.9842057288005037,1.1713318496919984,0.2
cs.CR,2024-10,50,38,12,1.1856675483576493,1.1856675483576493,0.0,1.2047225464912166,1.0784111391031421,1.1718150468727804,0.24
cs.CR,2024-11,50,38,12,1.1678530549365944,1.1678530549365944,0.0,1.1901887093468477,1.0344856285016617,1.1527221011960185,0.24
cs.CR,2025-02,50,40,10,1.1686069220502677,1.1686069220502677,0.0,1.1757607935311647,1.0778594982702794,1.1648659578377676,0.2
cs.CR,2025-04,50,34,16,1.162285840247589,1.1622858402475893,-2.220446049250313e-16,1.1895825170524255,1.0079879809823487,1.1681724347775815,0.32
cs.CR,2025-05,50,28,22,1.1421261573982486,1.1421261573982486,0.0,1.1876214731567523,1.0229617616084958,1.1588952256948697,0.44
cs.CR,2025-06,50,39,11,1.173161916582055,1.173161916582055,0.0,1.1973472179821325,1.0039444071246098,1.1530818575673745,0.22
cs.CR,2025-07,50,38,12,1.182756528989556,1.1827565289895563,-2.220446049250313e-16,1.2139774132227643,0.983523977970167,1.1634606227424826,0.24
cs.CR,2025-08,50,35,15,1.1344697616159265,1.1344697616159265,0.0,1.1593390909298709,1.0414842634438806,1.1248816213611992,0.3
cs.CR,2025-09,50,40,10,1.1771713317793966,1.1771713317793964,2.220446049250313e-16,1.1972849181020466,1.000067251673796,1.1578740474621088,0.2
cs.CR,2025-10,50,35,15,1.1631048262912818,1.1631048262912815,2.220446049250313e-16,1.194783580315443,0.9540082632537337,1.1690215510047417,0.3
cs.CR,2025-11,50,35,15,1.1730287582105667,1.1730287582105667,0.0,1.1908293229282754,1.0645835089921465,1.1745438347075143,0.3
cs.CR,2025-12,50,35,15,1.169164461589861,1.1691644615898613,-2.220446049250313e-16,1.1854537937336669,1.0865674237148197,1.1672226260685563,0.3
cs.CV,2024-12,50,37,13,1.118563378023138,1.1185633780231379,2.220446049250313e-16,1.1282627921304738,1.079978078549852,1.111390495618628,0.26
cs.CV,2025-05,50,37,13,1.125618805981179,1.1256188059811787,2.220446049250313e-16,1.143838274249751,1.0436108618719502,1.1136904354482282,0.26
cs.CV,2025-06,50,40,10,1.1356860190055948,1.135686019005595,-2.220446049250313e-16,1.1456733531921062,1.0647696589828664,1.124188807844455,0.2
cs.CV,2025-08,50,40,10,1.140712776041126,1.140712776041126,0.0,1.1405572089658866,1.108546223876751,1.1446348689563353,0.2
cs.CV,2025-09,50,40,10,1.1370746106109437,1.1370746106109437,0.0,1.1360727073158565,1.091835505145848,1.144117721401187,0.2
cs.CV,2025-10,50,36,14,1.1082359901086307,1.1082359901086307,0.0,1.1226782814874263,1.0227033152923466,1.105626525504743,0.28
cs.CV,2025-11,50,38,12,1.1093154843038884,1.1093154843038884,0.0,1.1271485353689001,1.0074698865455898,1.096563674113854,0.24
cs.CY,2023-04,50,39,11,1.2670884450197764,1.2670884450197764,0.0,1.2861082343654393,1.1041350660266758,1.25512754044981,0.22
cs.CY,2023-05,50,36,14,1.2509243011506446,1.2509243011506443,2.220446049250313e-16,1.2691592330127994,1.1200887980945924,1.2517537132636265,0.28
cs.CY,2023-06,50,40,10,1.2339740297649475,1.2339740297649475,0.0,1.2530155657918922,1.0687956354178407,1.2154256038764553,0.2
cs.CY,2023-10,50,36,14,1.2651857323101177,1.2651857323101177,0.0,1.2880366944130965,1.1248261148620349,1.2619647383872983,0.28
cs.CY,2023-11,50,34,16,1.2617755672726867,1.2617755672726867,0.0,1.2863683075882588,1.1556235658123533,1.2598301864973267,0.32
cs.CY,2024-01,50,36,14,1.2102418644043222,1.210241864404322,2.220446049250313e-16,1.221492951624889,1.1469583290865712,1.2076041992554298,0.28
cs.CY,2024-02,50,33,17,1.2390035702008262,1.2390035702008264,-2.220446049250313e-16,1.2678925280494742,1.1306983916867988,1.2380697636657494,0.34
cs.CY,2024-03,50,33,17,1.2638216932115898,1.2638216932115898,0.0,1.2876343551578358,1.1724610358998269,1.2635578142218962,0.34
cs.CY,2024-05,50,32,18,1.240190624988222,1.2401906249882222,-2.220446049250313e-16,1.2661757332642247,1.1592971764771793,1.2393018817890766,0.36
cs.CY,2024-06,50,34,16,1.236486337109193,1.236486337109193,0.0,1.266962196486441,1.1167032750596884,1.231480841402032,0.32
cs.CY,2024-07,50,40,10,1.2668877415273305,1.2668877415273303,2.220446049250313e-16,1.2806676081711648,1.157194053171742,1.2523575415118569,0.2
cs.CY,2024-08,50,32,18,1.2252601821549551,1.2252601821549551,0.0,1.2264737870273528,1.1689318099192911,1.2391773573899334,0.36
cs.CY,2024-09,50,40,10,1.2767340647083008,1.2767340647083008,0.0,1.279275989697607,1.1737007285945087,1.2833685612919554,0.2
cs.CY,2024-10,50,35,15,1.2317763396752786,1.2317763396752783,2.220446049250313e-16,1.2475744703857268,1.1756114292614996,1.225104773619526,0.3
cs.CY,2024-12,50,36,14,1.2609388847342804,1.26093888473428,4.440892098500626e-16,1.286581774210668,1.105543834917215,1.2569427124390988,0.28
cs.CY,2025-01,50,34,16,1.2465025390066344,1.2465025390066344,0.0,1.2615120365649963,1.1850661765561823,1.2445761334254086,0.32
cs.CY,2025-02,50,32,18,1.2301773397412477,1.2301773397412477,0.0,1.2401597636066903,1.1544296041294857,1.2417018559067685,0.36
cs.CY,2025-03,50,31,19,1.2229087475336977,1.2229087475336975,2.220446049250313e-16,1.2152432714257766,1.1699511063085184,1.2443352382632205,0.38
cs.CY,2025-04,50,33,17,1.2434598995820105,1.2434598995820105,0.0,1.2429965451729774,1.1919136943734638,1.2563920475968624,0.34
cs.CY,2025-05,50,31,19,1.2448864690231602,1.2448864690231605,-2.220446049250313e-16,1.2750365376415447,1.1690836423687958,1.2430910555262973,0.38
cs.CY,2025-06,50,27,23,1.1930935764510602,1.1930935764510604,-2.220446049250313e-16,1.2173539299311478,1.1389164243023098,1.2014533758425634,0.46
cs.CY,2025-07,50,30,20,1.2350505511532581,1.235050551153258,2.220446049250313e-16,1.253430057274231,1.1798510671960645,1.239205245801997,0.4
cs.CY,2025-08,50,37,13,1.214259005508289,1.214259005508289,0.0,1.2225917309410286,1.1566827027346789,1.2120580834254138,0.26
cs.CY,2025-09,50,31,19,1.2144949250211061,1.2144949250211061,0.0,1.2173885814924683,1.175939918244935,1.2234038484498697,0.38
cs.CY,2025-10,50,30,20,1.2371002153685224,1.2371002153685224,0.0,1.2715269500738933,1.1467962588925038,1.2407370855912012,0.4
cs.CY,2025-11,50,29,21,1.2352202973195423,1.2352202973195423,0.0,1.2561983148758613,1.1587220351744214,1.2476136633665207,0.42
cs.CY,2025-12,50,29,21,1.2522838765182491,1.2522838765182494,-2.220446049250313e-16,1.2671695975217578,1.191576972818642,1.2632934775847406,0.42
cs.DB,2024-07,50,39,11,1.1703356306104622,1.1703356306104622,0.0,1.1881164007675733,1.0321881215597413,1.1573346103572464,0.22
cs.DB,2024-08,50,39,11,1.169088069501072,1.169088069501072,0.0,1.177808895203063,1.0602673609366382,1.1679761979995997,0.22
cs.DB,2024-10,50,39,11,1.1600865523265147,1.160086552326515,-2.220446049250313e-16,1.1741313601070533,0.9479529446224126,1.1630239552597237,0.22
