primary_category,macro_field,rows,pre_rows,post_rows,observed_genai_marker_share,arxiv_macro_field,n_respondents,mean_frequency_score,share_any_use,share_weekly_or_daily,share_use_research,share_use_code,share_use_manuscripts,share_use_review,share_use_literature,share_use_scientific_search,share_use_brainstorm,nature_frequency_z,nature_any_use_z,nature_weekly_z,nature_research_writing_raw,nature_research_writing_z,n_pre_papers,text_writing_share,code_computation_share,ai_ml_method_share,literature_synthesis_share,pre_task_supported,text_writing_z,code_computation_z,ai_ml_method_z,literature_synthesis_z,pre_task_fit_raw,pre_task_fit_z,pre_ai_ml_z,ai_heavy_category,exposure_claim_role
math.OC,math,4800,2950,1850,0.001875,math,75.0,0.3175675675675675,0.6533333333333333,0.16,0.12,0.12,0.1333333333333333,0.08,0.0933333333333333,0.16,0.1733333333333333,-0.16520426464076002,-0.41171235590318694,-0.10687462978466984,0.12999999999999998,-0.8625596711998887,2950,0.02576271186440678,0.6559322033898305,0.09593220338983051,0.08813559322033898,True,-0.4425720844370942,1.0751165081760383,-0.2668420747895433,0.3198249708166038,0.952369394555548,0.4495308957749484,-0.2668420747895433,False,primary_external_adoption
math.PR,math,4800,2950,1850,0.0,math,75.0,0.3175675675675675,0.6533333333333333,0.16,0.12,0.12,0.1333333333333333,0.08,0.0933333333333333,0.16,0.1733333333333333,-0.16520426464076002,-0.41171235590318694,-0.10687462978466984,0.12999999999999998,-0.8625596711998887,2950,0.030847457627118643,0.08508474576271187,0.00983050847457627,0.05322033898305085,True,-0.3858490044896802,-1.304012639323748,-0.8251751293555729,-0.4289626289914584,-2.1188242728048863,-1.0001129590983817,-0.8251751293555729,False,primary_external_adoption
math.QA,math,2823,1639,1184,0.0,math,75.0,0.3175675675675675,0.6533333333333333,0.16,0.12,0.12,0.1333333333333333,0.08,0.0933333333333333,0.16,0.1733333333333333,-0.16520426464076002,-0.41171235590318694,-0.10687462978466984,0.12999999999999998,-0.8625596711998887,1639,0.04087858450274558,0.06650396583282489,0.0012202562538133007,0.03294691885295912,True,-0.27394637684967504,-1.381452022689363,-0.8810089712762716,-0.8637435272184479,-2.519141926757486,-1.189068163459836,-0.8810089712762716,False,primary_external_adoption
math.RA,math,4676,2840,1836,0.0,math,75.0,0.3175675675675675,0.6533333333333333,0.16,0.12,0.12,0.1333333333333333,0.08,0.0933333333333333,0.16,0.1733333333333333,-0.16520426464076002,-0.41171235590318694,-0.10687462978466984,0.12999999999999998,-0.8625596711998887,2840,0.029225352112676056,0.03732394366197183,0.001056338028169014,0.029225352112676056,True,-0.4039444659095242,-1.5030660201659254,-0.8820719116018146,-0.943555720709682,-2.8505662067851314,-1.3455047880869042,-0.8820719116018146,False,primary_external_adoption
math.RT,math,4800,2950,1850,0.0,math,75.0,0.3175675675675675,0.6533333333333333,0.16,0.12,0.12,0.1333333333333333,0.08,0.0933333333333333,0.16,0.1733333333333333,-0.16520426464076002,-0.41171235590318694,-0.10687462978466984,0.12999999999999998,-0.8625596711998887,2950,0.04474576271186441,0.05559322033898305,0.00033898305084745765,0.02711864406779661,True,-0.23080591930008193,-1.4269248933810408,-0.8867236550557653,-0.988735883216903,-2.6464666958980256,-1.2491671312062704,-0.8867236550557653,False,primary_external_adoption
math.SG,math,2135,1229,906,0.000468384074941452,math,75.0,0.3175675675675675,0.6533333333333333,0.16,0.12,0.12,0.1333333333333333,0.08,0.0933333333333333,0.16,0.1733333333333333,-0.16520426464076002,-0.41171235590318694,-0.10687462978466984,0.12999999999999998,-0.8625596711998887,1229,0.03905614320585842,0.06427990235964198,0.0008136696501220504,0.022782750203417412,True,-0.29427669191495887,-1.3907212839679082,-0.8836455133397931,-1.0817228492480337,-2.766720825130901,-1.3059286638045733,-0.8836455133397931,False,primary_external_adoption
math.SP,math,2108,1259,849,0.0,math,75.0,0.3175675675675675,0.6533333333333333,0.16,0.12,0.12,0.1333333333333333,0.08,0.0933333333333333,0.16,0.1733333333333333,-0.16520426464076002,-0.41171235590318694,-0.10687462978466984,0.12999999999999998,-0.8625596711998887,1259,0.04289118347895155,0.09849086576648133,0.006354249404289118,0.03335980937251787,True,-0.2514947503658901,-1.2481397604491924,-0.8477171983251403,-0.8548887355843169,-2.3545232463993995,-1.1113659785033407,-0.8477171983251403,False,primary_external_adoption
math.ST,math,4800,2950,1850,0.0014583333333333334,math,75.0,0.3175675675675675,0.6533333333333333,0.16,0.12,0.12,0.1333333333333333,0.08,0.0933333333333333,0.16,0.1733333333333333,-0.16520426464076002,-0.41171235590318694,-0.10687462978466984,0.12999999999999998,-0.8625596711998887,2950,0.022372881355932205,0.5338983050847458,0.05016949152542373,0.09694915254237288,True,-0.4803874710687035,0.5665140775941364,-0.563593895129756,0.5088393163992215,0.5949659229246544,0.28083175059684184,-0.563593895129756,False,primary_external_adoption
nlin.AO,nlin,541,343,198,0.0,nlin,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,343,0.008746355685131196,0.25072886297376096,0.16326530612244897,0.04664723032069971,True,-0.632398710391336,-0.6136552730900189,0.16978460206174756,-0.56992858688224,-1.815982570363595,-0.8571676874897994,0.16978460206174756,False,primary_external_adoption
nlin.CD,nlin,641,340,301,0.0,nlin,190.0,0.3039473684210526,0.6473684210526316,0.1473684210526315,0.1210526315789473,0.2263157894736842,0.1684210526315789,0.0736842105263157,0.1157894736842105,0.131578947368421,0.1684210526315789,-0.5557557960667044,-0.5260559107794395,-0.56920686806596,0.1434210526315789,-0.4446884053680613,340,0.008823529411764706,0.15588235294117647,0.03529411764705882,0.052941176470588235,True,-0.6315377958697538,-1.008948435111159,-0.6600543996935027,-0.43494950871579474,-2.0754357396967076,-0.9796330000971972,-0.6600543996935027,False,primary_external_adoption
