row_id,topic_cluster
1105,3
1107,-1
1108,-1
1109,-1
1111,-1
1114,3
1119,3
1120,-1
1121,-1
1122,-1
1124,3
1125,-1
1128,-1
1129,-1
1131,3
1134,3
1135,-1
1136,-1
1139,3
1143,3
1145,-1
1149,3
1152,3
1153,-1
1154,-1
1155,-1
1157,-1
1158,-1
1160,-1
1161,-1
1162,3
1163,3
1167,-1
1169,-1
1170,-1
1172,-1
1175,-1
1178,-1
1179,-1
1180,-1
1181,-1
1186,-1
1188,-1
1189,2
1191,3
1192,-1
1193,3
1194,-1
1195,-1
1196,2
1198,3
1200,-1
1203,3
1204,-1
1205,3
1206,3
1208,-1
1209,-1
1211,-1
1212,-1
1213,3
1214,-1
1216,-1
1217,-1
1219,3
1220,-1
1224,3
1226,-1
1227,-1
1231,3
1233,-1
1234,-1
1235,-1
1237,3
1239,-1
1240,-1
1241,3
1243,3
1245,-1
1246,3
1250,3
1251,3
1252,-1
1255,3
1256,-1
1258,-1
1261,3
1263,-1
1264,3
1266,-1
1267,-1
1269,-1
1272,-1
1273,-1
1277,-1
1278,-1
1279,-1
1280,-1
1281,-1
1282,-1
1283,-1
1285,-1
1287,-1
1290,3
1292,-1
1293,3
1295,3
1298,-1
1299,-1
1301,-1
1303,-1
1304,3
1306,-1
1307,-1
1309,3
1310,-1
1312,3
1313,3
1314,3
1315,-1
1316,3
1317,3
1318,3
1319,-1
1322,-1
1323,-1
1324,-1
1327,-1
1328,-1
1331,3
1332,-1
1335,-1
1337,-1
1338,-1
1339,-1
1340,-1
1345,-1
1346,3
1348,3
1349,3
1351,-1
1352,-1
1353,3
1354,-1
1355,3
1356,-1
1357,-1
1359,3
1360,3
1363,-1
1365,3
1366,-1
1367,3
1368,-1
1369,-1
1371,-1
1372,-1
1374,3
1375,-1
1376,3
1377,3
1379,-1
1380,-1
1382,-1
1383,3
1384,-1
1385,3
1388,3
1389,2
1391,-1
1393,3
1395,3
1396,-1
1398,-1
1399,-1
1401,-1
1402,3
1403,3
1405,-1
1406,-1
1407,3
1408,-1
1409,-1
1411,-1
1412,-1
1413,-1
1415,-1
1418,-1
1419,3
1420,-1
1421,-1
1422,-1
1424,-1
1425,-1
1426,-1
1427,-1
1429,3
1430,-1
1431,-1
1432,-1
1436,-1
1437,-1
1441,-1
1442,-1
1443,-1
1444,3
1446,-1
1448,-1
1451,-1
1453,-1
1454,-1
1455,-1
1456,-1
1457,-1
1459,-1
1460,-1
1461,-1
1465,-1
1468,-1
1469,-1
1471,-1
1472,-1
1474,-1
1475,-1
1477,-1
1478,-1
1482,-1
1484,-1
1485,-1
1486,3
1487,-1
1488,-1
1489,3
1490,-1
1491,-1
1492,-1
1493,3
1495,3
1496,-1
1498,-1
1499,-1
1500,-1
1501,3
1502,-1
1503,-1
1504,-1
1506,-1
1507,-1
1508,-1
1509,-1
1510,-1
1511,3
1513,-1
1514,3
1515,-1
1516,-1
1518,-1
1519,3
1520,3
1522,-1
1523,-1
1524,-1
1525,-1
1527,-1
1528,3
1531,-1
1532,-1
1533,-1
1534,-1
1535,-1
1539,-1
1540,3
1541,3
1543,-1
1545,3
1547,3
1551,-1
1552,-1
1553,3
1556,3
1557,-1
1558,-1
1559,-1
1560,3
1561,-1
1563,-1
1565,3
1567,3
1570,3
1571,-1
1572,-1
1574,3
1575,3
1576,3
1577,3
1578,-1
1581,-1
1582,-1
1584,-1
1585,-1
1586,-1
1587,3
1588,-1
1590,-1
1591,-1
1594,0
1596,3
1597,-1
1600,-1
1601,-1
1603,3
1605,3
1606,-1
1609,3
1610,-1
1611,-1
1613,-1
1614,-1
1615,3
1618,3
1620,-1
1623,-1
1624,-1
1625,2
1630,-1
1631,-1
1632,-1
1634,3
1637,-1
1638,-1
1639,-1
1640,-1
1642,3
1643,-1
1644,-1
1646,-1
1648,-1
1649,-1
1650,-1
1652,-1
1653,3
1656,3
1658,3
1660,-1
1661,-1
1662,-1
1663,3
1664,-1
1665,-1
1666,-1
1667,-1
1668,3
1669,-1
1670,3
1675,-1
1676,-1
1677,3
1680,-1
1681,-1
1682,-1
1683,3
1685,3
1687,-1
1688,-1
1689,3
1690,-1
1691,-1
1693,3
1694,-1
1695,3
1696,-1
1698,-1
1699,3
1701,-1
1702,3
1704,2
1707,-1
1708,-1
1709,3
1710,-1
1711,-1
1712,-1
1716,-1
1717,-1
1719,-1
1720,3
1723,3
1724,-1
1725,-1
1727,-1
1728,-1
1729,-1
1730,-1
1731,-1
1734,-1
1735,-1
1736,-1
1737,-1
1739,-1
1740,-1
1741,3
1742,-1
1744,-1
1748,3
1749,-1
1751,3
1752,-1
1754,3
1755,-1
1757,-1
1758,-1
1761,-1
1762,-1
1764,-1
1765,3
1768,-1
1770,-1
1771,-1
1773,-1
1774,-1
1775,-1
1777,3
1778,3
1779,-1
1781,-1
1782,-1
1785,3
1787,-1
1788,3
1789,-1
1790,-1
1793,-1
1794,-1
1795,3
1796,3
1797,-1
1798,3
1800,-1
1802,-1
1804,-1
1805,-1
1807,-1
1808,-1
1811,3
1813,3
1814,-1
1815,-1
1816,3
1818,3
1819,3
1820,3
1821,-1
1822,-1
1823,-1
1824,3
1825,3
1826,-1
1827,-1
1828,3
1829,3
1830,-1
1831,-1
1834,-1
