primary_category,macro_field,submission_month,raw_n,selected_n
astro-ph.CO,astro-ph,2023-08,6,6
astro-ph.CO,astro-ph,2023-09,5,5
astro-ph.CO,astro-ph,2023-10,10,10
astro-ph.CO,astro-ph,2023-11,9,9
astro-ph.CO,astro-ph,2023-12,4,4
astro-ph.CO,astro-ph,2024-01,8,8
astro-ph.CO,astro-ph,2024-02,7,7
astro-ph.CO,astro-ph,2024-03,7,7
astro-ph.CO,astro-ph,2024-04,4,4
astro-ph.CO,astro-ph,2024-05,9,9
astro-ph.CO,astro-ph,2024-06,4,4
astro-ph.CO,astro-ph,2024-07,9,9
astro-ph.CO,astro-ph,2024-08,1,1
astro-ph.CO,astro-ph,2024-09,4,4
astro-ph.CO,astro-ph,2024-10,7,7
astro-ph.CO,astro-ph,2024-11,5,5
astro-ph.CO,astro-ph,2024-12,5,5
astro-ph.CO,astro-ph,2025-01,3,3
astro-ph.CO,astro-ph,2025-02,5,5
astro-ph.CO,astro-ph,2025-03,5,5
astro-ph.CO,astro-ph,2025-04,5,5
astro-ph.CO,astro-ph,2025-05,10,10
astro-ph.CO,astro-ph,2025-06,4,4
astro-ph.CO,astro-ph,2025-07,7,7
astro-ph.CO,astro-ph,2025-08,4,4
astro-ph.CO,astro-ph,2025-09,8,8
astro-ph.CO,astro-ph,2025-10,11,11
astro-ph.CO,astro-ph,2025-11,8,8
astro-ph.CO,astro-ph,2025-12,6,6
astro-ph.EP,astro-ph,2018-01,10,10
astro-ph.EP,astro-ph,2018-02,5,5
astro-ph.EP,astro-ph,2018-03,2,2
astro-ph.EP,astro-ph,2018-04,6,6
astro-ph.EP,astro-ph,2018-05,5,5
astro-ph.EP,astro-ph,2018-06,5,5
astro-ph.EP,astro-ph,2018-07,2,2
astro-ph.EP,astro-ph,2018-08,4,4
astro-ph.EP,astro-ph,2018-09,5,5
astro-ph.EP,astro-ph,2018-10,9,9
astro-ph.EP,astro-ph,2018-11,9,9
astro-ph.EP,astro-ph,2018-12,3,3
astro-ph.EP,astro-ph,2019-01,10,10
astro-ph.EP,astro-ph,2019-02,8,8
astro-ph.EP,astro-ph,2019-03,15,15
astro-ph.EP,astro-ph,2019-04,18,18
astro-ph.EP,astro-ph,2019-05,13,13
astro-ph.EP,astro-ph,2019-06,8,8
astro-ph.EP,astro-ph,2019-07,11,11
astro-ph.EP,astro-ph,2019-08,12,12
astro-ph.EP,astro-ph,2019-09,13,13
astro-ph.EP,astro-ph,2019-10,5,5
astro-ph.EP,astro-ph,2019-11,8,8
astro-ph.EP,astro-ph,2019-12,19,19
astro-ph.EP,astro-ph,2020-01,6,6
astro-ph.EP,astro-ph,2020-02,17,17
astro-ph.EP,astro-ph,2020-03,12,12
astro-ph.EP,astro-ph,2020-04,7,7
astro-ph.EP,astro-ph,2020-05,19,19
astro-ph.EP,astro-ph,2020-06,23,23
astro-ph.EP,astro-ph,2020-07,20,20
astro-ph.EP,astro-ph,2020-08,10,10
astro-ph.EP,astro-ph,2020-09,13,13
astro-ph.EP,astro-ph,2020-10,16,16
astro-ph.EP,astro-ph,2020-11,22,22
astro-ph.EP,astro-ph,2020-12,28,28
astro-ph.EP,astro-ph,2021-01,18,18
astro-ph.EP,astro-ph,2021-02,28,28
astro-ph.EP,astro-ph,2021-03,30,30
astro-ph.EP,astro-ph,2021-04,29,29
astro-ph.EP,astro-ph,2021-05,28,28
astro-ph.EP,astro-ph,2021-06,14,14
astro-ph.EP,astro-ph,2021-07,16,16
astro-ph.EP,astro-ph,2021-08,24,24
astro-ph.EP,astro-ph,2021-09,26,26
astro-ph.EP,astro-ph,2021-10,23,23
astro-ph.EP,astro-ph,2021-11,29,29
astro-ph.EP,astro-ph,2021-12,25,25
astro-ph.EP,astro-ph,2022-01,25,25
astro-ph.EP,astro-ph,2022-02,26,26
astro-ph.EP,astro-ph,2022-03,26,26
astro-ph.EP,astro-ph,2022-04,30,30
astro-ph.EP,astro-ph,2022-05,27,27
astro-ph.EP,astro-ph,2022-06,21,21
astro-ph.EP,astro-ph,2022-07,21,21
astro-ph.EP,astro-ph,2022-08,15,15
astro-ph.EP,astro-ph,2022-09,17,17
astro-ph.EP,astro-ph,2022-10,23,23
astro-ph.EP,astro-ph,2022-11,27,27
astro-ph.EP,astro-ph,2022-12,20,20
astro-ph.EP,astro-ph,2023-01,33,33
astro-ph.EP,astro-ph,2023-02,25,25
astro-ph.EP,astro-ph,2023-03,19,19
astro-ph.EP,astro-ph,2023-04,17,17
astro-ph.EP,astro-ph,2023-05,20,20
astro-ph.EP,astro-ph,2023-06,31,31
astro-ph.EP,astro-ph,2023-07,25,25
astro-ph.EP,astro-ph,2023-08,29,29
astro-ph.EP,astro-ph,2023-09,28,28
astro-ph.EP,astro-ph,2023-10,26,26
astro-ph.EP,astro-ph,2023-11,25,25
astro-ph.EP,astro-ph,2023-12,19,19
astro-ph.EP,astro-ph,2024-01,28,28
astro-ph.EP,astro-ph,2024-02,19,19
astro-ph.EP,astro-ph,2024-03,24,24
astro-ph.EP,astro-ph,2024-04,25,25
astro-ph.EP,astro-ph,2024-05,35,35
astro-ph.EP,astro-ph,2024-06,15,15
astro-ph.EP,astro-ph,2024-07,23,23
astro-ph.EP,astro-ph,2024-08,19,19
astro-ph.EP,astro-ph,2024-09,31,31
astro-ph.EP,astro-ph,2024-10,23,23
astro-ph.EP,astro-ph,2024-11,17,17
astro-ph.EP,astro-ph,2024-12,13,13
astro-ph.EP,astro-ph,2025-01,15,15
astro-ph.EP,astro-ph,2025-02,15,15
astro-ph.EP,astro-ph,2025-03,16,16
astro-ph.EP,astro-ph,2025-04,22,22
astro-ph.EP,astro-ph,2025-05,22,22
astro-ph.EP,astro-ph,2025-06,26,26
astro-ph.EP,astro-ph,2025-07,19,19
astro-ph.EP,astro-ph,2025-08,19,19
astro-ph.EP,astro-ph,2025-09,17,17
astro-ph.EP,astro-ph,2025-10,15,15
astro-ph.EP,astro-ph,2025-11,13,13
astro-ph.EP,astro-ph,2025-12,11,11
astro-ph.GA,astro-ph,2018-01,2,2
astro-ph.GA,astro-ph,2018-02,2,2
astro-ph.GA,astro-ph,2018-03,4,4
astro-ph.GA,astro-ph,2018-04,1,1
astro-ph.GA,astro-ph,2018-05,1,1
astro-ph.GA,astro-ph,2018-06,3,3
astro-ph.GA,astro-ph,2018-07,5,5
astro-ph.GA,astro-ph,2018-08,2,2
astro-ph.GA,astro-ph,2018-10,8,8
astro-ph.GA,astro-ph,2018-11,4,4
astro-ph.GA,astro-ph,2018-12,2,2
astro-ph.GA,astro-ph,2019-01,2,2
astro-ph.GA,astro-ph,2019-02,5,5
astro-ph.GA,astro-ph,2019-03,5,5
astro-ph.GA,astro-ph,2019-04,7,7
astro-ph.GA,astro-ph,2019-05,6,6
astro-ph.GA,astro-ph,2019-06,6,6
astro-ph.GA,astro-ph,2019-07,6,6
astro-ph.GA,astro-ph,2019-08,5,5
astro-ph.GA,astro-ph,2019-09,4,4
astro-ph.GA,astro-ph,2019-10,6,6
astro-ph.GA,astro-ph,2019-11,4,4
astro-ph.GA,astro-ph,2019-12,5,5
astro-ph.GA,astro-ph,2020-01,5,5
astro-ph.GA,astro-ph,2020-02,8,8
astro-ph.GA,astro-ph,2020-03,8,8
astro-ph.GA,astro-ph,2020-04,6,6
astro-ph.GA,astro-ph,2020-05,6,6
astro-ph.GA,astro-ph,2020-06,2,2
astro-ph.GA,astro-ph,2020-07,10,10
astro-ph.GA,astro-ph,2020-08,4,4
astro-ph.GA,astro-ph,2020-09,6,6
astro-ph.GA,astro-ph,2020-10,7,7
astro-ph.GA,astro-ph,2020-11,12,12
astro-ph.GA,astro-ph,2020-12,10,10
astro-ph.GA,astro-ph,2021-01,7,7
astro-ph.GA,astro-ph,2021-02,7,7
astro-ph.GA,astro-ph,2021-03,8,8
astro-ph.GA,astro-ph,2021-04,3,3
astro-ph.GA,astro-ph,2021-05,7,7
astro-ph.GA,astro-ph,2021-06,12,12
astro-ph.GA,astro-ph,2021-07,9,9
astro-ph.GA,astro-ph,2021-08,3,3
astro-ph.GA,astro-ph,2021-09,6,6
astro-ph.GA,astro-ph,2021-10,8,8
astro-ph.GA,astro-ph,2021-11,12,12
astro-ph.GA,astro-ph,2021-12,4,4
astro-ph.GA,astro-ph,2022-01,4,4
astro-ph.GA,astro-ph,2022-02,5,5
astro-ph.GA,astro-ph,2022-03,7,7
astro-ph.GA,astro-ph,2022-04,8,8
astro-ph.GA,astro-ph,2022-05,6,6
astro-ph.GA,astro-ph,2022-06,2,2
astro-ph.GA,astro-ph,2022-07,8,8
astro-ph.GA,astro-ph,2022-08,10,10
astro-ph.GA,astro-ph,2022-09,11,11
astro-ph.GA,astro-ph,2022-10,2,2
astro-ph.GA,astro-ph,2022-11,13,13
astro-ph.GA,astro-ph,2022-12,8,8
astro-ph.GA,astro-ph,2023-01,6,6
astro-ph.GA,astro-ph,2023-02,11,11
astro-ph.GA,astro-ph,2023-03,10,10
astro-ph.GA,astro-ph,2023-04,7,7
astro-ph.GA,astro-ph,2023-05,11,11
astro-ph.GA,astro-ph,2023-06,6,6
astro-ph.GA,astro-ph,2023-07,10,10
astro-ph.GA,astro-ph,2023-08,3,3
astro-ph.GA,astro-ph,2023-09,7,7
astro-ph.GA,astro-ph,2023-10,8,8
astro-ph.GA,astro-ph,2023-11,6,6
astro-ph.GA,astro-ph,2023-12,9,9
astro-ph.GA,astro-ph,2024-01,5,5
astro-ph.GA,astro-ph,2024-02,5,5
astro-ph.GA,astro-ph,2024-03,6,6
astro-ph.GA,astro-ph,2024-04,5,5
astro-ph.GA,astro-ph,2024-05,7,7
astro-ph.GA,astro-ph,2024-06,4,4
astro-ph.GA,astro-ph,2024-07,6,6
astro-ph.GA,astro-ph,2024-08,6,6
astro-ph.GA,astro-ph,2024-09,11,11
astro-ph.GA,astro-ph,2024-10,3,3
astro-ph.GA,astro-ph,2024-11,4,4
astro-ph.GA,astro-ph,2024-12,8,8
astro-ph.GA,astro-ph,2025-01,5,5
astro-ph.GA,astro-ph,2025-02,7,7
astro-ph.GA,astro-ph,2025-03,12,12
astro-ph.GA,astro-ph,2025-04,5,5
astro-ph.GA,astro-ph,2025-05,9,9
astro-ph.GA,astro-ph,2025-06,8,8
astro-ph.GA,astro-ph,2025-07,10,10
astro-ph.GA,astro-ph,2025-08,2,2
astro-ph.GA,astro-ph,2025-09,9,9
astro-ph.GA,astro-ph,2025-10,6,6
astro-ph.GA,astro-ph,2025-11,5,5
astro-ph.GA,astro-ph,2025-12,6,6
astro-ph.HE,astro-ph,2018-01,6,6
astro-ph.HE,astro-ph,2018-02,1,1
astro-ph.HE,astro-ph,2018-03,2,2
astro-ph.HE,astro-ph,2018-04,5,5
astro-ph.HE,astro-ph,2018-05,9,9
astro-ph.HE,astro-ph,2018-06,5,5
astro-ph.HE,astro-ph,2018-07,5,5
astro-ph.HE,astro-ph,2018-08,4,4
astro-ph.HE,astro-ph,2018-09,6,6
astro-ph.HE,astro-ph,2018-10,9,9
astro-ph.HE,astro-ph,2018-11,5,5
astro-ph.HE,astro-ph,2018-12,2,2
astro-ph.HE,astro-ph,2019-01,7,7
astro-ph.HE,astro-ph,2019-02,7,7
astro-ph.HE,astro-ph,2019-03,12,12
astro-ph.HE,astro-ph,2019-04,8,8
astro-ph.HE,astro-ph,2019-05,6,6
astro-ph.HE,astro-ph,2019-06,5,5
astro-ph.HE,astro-ph,2019-07,6,6
astro-ph.HE,astro-ph,2019-08,14,14
astro-ph.HE,astro-ph,2019-09,16,16
astro-ph.HE,astro-ph,2019-10,10,10
astro-ph.HE,astro-ph,2019-11,1,1
astro-ph.HE,astro-ph,2019-12,8,8
astro-ph.HE,astro-ph,2020-01,7,7
astro-ph.HE,astro-ph,2020-02,6,6
astro-ph.HE,astro-ph,2020-03,13,13
astro-ph.HE,astro-ph,2020-04,3,3
astro-ph.HE,astro-ph,2020-05,10,10
astro-ph.HE,astro-ph,2020-06,15,15
astro-ph.HE,astro-ph,2020-07,15,15
astro-ph.HE,astro-ph,2020-08,9,9
astro-ph.HE,astro-ph,2020-09,10,10
astro-ph.HE,astro-ph,2020-10,11,11
astro-ph.HE,astro-ph,2020-11,12,12
astro-ph.HE,astro-ph,2020-12,11,11
astro-ph.HE,astro-ph,2021-01,4,4
astro-ph.HE,astro-ph,2021-02,9,9
astro-ph.HE,astro-ph,2021-03,6,6
astro-ph.HE,astro-ph,2021-04,8,8
astro-ph.HE,astro-ph,2021-05,6,6
astro-ph.HE,astro-ph,2021-06,12,12
astro-ph.HE,astro-ph,2021-07,11,11
astro-ph.HE,astro-ph,2021-08,7,7
astro-ph.HE,astro-ph,2021-09,10,10
astro-ph.HE,astro-ph,2021-10,7,7
astro-ph.HE,astro-ph,2021-11,16,16
astro-ph.HE,astro-ph,2021-12,10,10
astro-ph.HE,astro-ph,2022-01,13,13
astro-ph.HE,astro-ph,2022-02,8,8
astro-ph.HE,astro-ph,2022-03,8,8
astro-ph.HE,astro-ph,2022-04,10,10
astro-ph.HE,astro-ph,2022-05,6,6
astro-ph.HE,astro-ph,2022-06,14,14
astro-ph.HE,astro-ph,2022-07,8,8
astro-ph.HE,astro-ph,2022-08,7,7
astro-ph.HE,astro-ph,2022-09,12,12
astro-ph.HE,astro-ph,2022-10,12,12
astro-ph.HE,astro-ph,2022-11,5,5
astro-ph.HE,astro-ph,2022-12,4,4
astro-ph.HE,astro-ph,2023-01,6,6
astro-ph.HE,astro-ph,2023-02,9,9
astro-ph.HE,astro-ph,2023-03,12,12
astro-ph.HE,astro-ph,2023-04,11,11
astro-ph.HE,astro-ph,2023-05,8,8
astro-ph.HE,astro-ph,2023-06,16,16
astro-ph.HE,astro-ph,2023-07,13,13
astro-ph.HE,astro-ph,2023-08,8,8
astro-ph.HE,astro-ph,2023-09,17,17
astro-ph.HE,astro-ph,2023-10,13,13
astro-ph.HE,astro-ph,2023-11,8,8
astro-ph.HE,astro-ph,2023-12,11,11
astro-ph.HE,astro-ph,2024-01,16,16
astro-ph.HE,astro-ph,2024-02,5,5
astro-ph.HE,astro-ph,2024-03,3,3
astro-ph.HE,astro-ph,2024-04,9,9
astro-ph.HE,astro-ph,2024-05,16,16
astro-ph.HE,astro-ph,2024-06,7,7
astro-ph.HE,astro-ph,2024-07,10,10
astro-ph.HE,astro-ph,2024-08,9,9
astro-ph.HE,astro-ph,2024-09,9,9
astro-ph.HE,astro-ph,2024-10,18,18
astro-ph.HE,astro-ph,2024-11,13,13
astro-ph.HE,astro-ph,2024-12,13,13
astro-ph.HE,astro-ph,2025-01,12,12
astro-ph.HE,astro-ph,2025-02,5,5
astro-ph.HE,astro-ph,2025-03,8,8
astro-ph.HE,astro-ph,2025-04,8,8
astro-ph.HE,astro-ph,2025-05,10,10
astro-ph.HE,astro-ph,2025-06,6,6
astro-ph.HE,astro-ph,2025-07,22,22
astro-ph.HE,astro-ph,2025-08,5,5
astro-ph.HE,astro-ph,2025-09,13,13
astro-ph.HE,astro-ph,2025-10,14,14
astro-ph.HE,astro-ph,2025-11,7,7
astro-ph.HE,astro-ph,2025-12,16,16
astro-ph.IM,astro-ph,2018-01,11,11
astro-ph.IM,astro-ph,2018-02,15,15
astro-ph.IM,astro-ph,2018-03,17,17
astro-ph.IM,astro-ph,2018-04,14,14
astro-ph.IM,astro-ph,2018-05,12,12
astro-ph.IM,astro-ph,2018-06,17,17
astro-ph.IM,astro-ph,2018-07,19,19
astro-ph.IM,astro-ph,2018-08,13,13
astro-ph.IM,astro-ph,2018-09,27,27
astro-ph.IM,astro-ph,2018-10,22,22
astro-ph.IM,astro-ph,2018-11,14,14
astro-ph.IM,astro-ph,2018-12,23,23
astro-ph.IM,astro-ph,2019-01,17,17
astro-ph.IM,astro-ph,2019-02,17,17
astro-ph.IM,astro-ph,2019-03,19,19
astro-ph.IM,astro-ph,2019-04,17,17
astro-ph.IM,astro-ph,2019-05,18,18
astro-ph.IM,astro-ph,2019-06,12,12
astro-ph.IM,astro-ph,2019-07,48,48
astro-ph.IM,astro-ph,2019-08,41,41
astro-ph.IM,astro-ph,2019-09,32,32
astro-ph.IM,astro-ph,2019-10,26,26
astro-ph.IM,astro-ph,2019-11,26,26
astro-ph.IM,astro-ph,2019-12,21,21
astro-ph.IM,astro-ph,2020-01,17,17
astro-ph.IM,astro-ph,2020-02,31,31
astro-ph.IM,astro-ph,2020-03,27,27
astro-ph.IM,astro-ph,2020-04,19,19
astro-ph.IM,astro-ph,2020-05,20,20
astro-ph.IM,astro-ph,2020-06,16,16
astro-ph.IM,astro-ph,2020-07,16,16
astro-ph.IM,astro-ph,2020-08,23,23
astro-ph.IM,astro-ph,2020-09,27,27
astro-ph.IM,astro-ph,2020-10,23,23
astro-ph.IM,astro-ph,2020-11,35,35
astro-ph.IM,astro-ph,2020-12,33,33
astro-ph.IM,astro-ph,2021-01,25,25
astro-ph.IM,astro-ph,2021-02,32,32
astro-ph.IM,astro-ph,2021-03,27,27
astro-ph.IM,astro-ph,2021-04,23,23
astro-ph.IM,astro-ph,2021-05,21,21
astro-ph.IM,astro-ph,2021-06,29,29
astro-ph.IM,astro-ph,2021-07,36,36
astro-ph.IM,astro-ph,2021-08,31,31
astro-ph.IM,astro-ph,2021-09,21,21
astro-ph.IM,astro-ph,2021-10,24,24
astro-ph.IM,astro-ph,2021-11,39,39
astro-ph.IM,astro-ph,2021-12,33,33
astro-ph.IM,astro-ph,2022-01,15,15
astro-ph.IM,astro-ph,2022-02,18,18
astro-ph.IM,astro-ph,2022-03,27,27
astro-ph.IM,astro-ph,2022-04,15,15
astro-ph.IM,astro-ph,2022-05,22,22
astro-ph.IM,astro-ph,2022-06,24,24
astro-ph.IM,astro-ph,2022-07,34,34
astro-ph.IM,astro-ph,2022-08,51,50
astro-ph.IM,astro-ph,2022-09,30,30
astro-ph.IM,astro-ph,2022-10,33,33
astro-ph.IM,astro-ph,2022-11,34,34
astro-ph.IM,astro-ph,2022-12,23,23
astro-ph.IM,astro-ph,2023-01,32,32
astro-ph.IM,astro-ph,2023-02,26,26
astro-ph.IM,astro-ph,2023-03,24,24
astro-ph.IM,astro-ph,2023-04,28,28
astro-ph.IM,astro-ph,2023-05,31,31
astro-ph.IM,astro-ph,2023-06,35,35
astro-ph.IM,astro-ph,2023-07,19,19
astro-ph.IM,astro-ph,2023-08,28,28
astro-ph.IM,astro-ph,2023-09,31,31
astro-ph.IM,astro-ph,2023-10,35,35
astro-ph.IM,astro-ph,2023-11,41,41
astro-ph.IM,astro-ph,2023-12,27,27
astro-ph.IM,astro-ph,2024-01,27,27
astro-ph.IM,astro-ph,2024-02,23,23
astro-ph.IM,astro-ph,2024-03,15,15
astro-ph.IM,astro-ph,2024-04,25,25
astro-ph.IM,astro-ph,2024-05,35,35
astro-ph.IM,astro-ph,2024-06,25,25
astro-ph.IM,astro-ph,2024-07,47,47
astro-ph.IM,astro-ph,2024-08,22,22
astro-ph.IM,astro-ph,2024-09,20,20
astro-ph.IM,astro-ph,2024-10,29,29
astro-ph.IM,astro-ph,2024-11,31,31
astro-ph.IM,astro-ph,2024-12,28,28
astro-ph.IM,astro-ph,2025-01,30,30
astro-ph.IM,astro-ph,2025-02,35,35
astro-ph.IM,astro-ph,2025-03,31,31
astro-ph.IM,astro-ph,2025-04,27,27
astro-ph.IM,astro-ph,2025-05,20,20
astro-ph.IM,astro-ph,2025-06,24,24
astro-ph.IM,astro-ph,2025-07,39,39
astro-ph.IM,astro-ph,2025-08,31,31
astro-ph.IM,astro-ph,2025-09,26,26
astro-ph.IM,astro-ph,2025-10,56,50
astro-ph.IM,astro-ph,2025-11,28,28
astro-ph.IM,astro-ph,2025-12,29,29
astro-ph.SR,astro-ph,2018-01,21,21
astro-ph.SR,astro-ph,2018-02,13,13
astro-ph.SR,astro-ph,2018-03,14,14
astro-ph.SR,astro-ph,2018-04,12,12
astro-ph.SR,astro-ph,2018-05,11,11
astro-ph.SR,astro-ph,2018-06,6,6
astro-ph.SR,astro-ph,2018-07,12,12
astro-ph.SR,astro-ph,2018-08,10,10
astro-ph.SR,astro-ph,2018-09,7,7
astro-ph.SR,astro-ph,2018-10,13,13
astro-ph.SR,astro-ph,2018-11,10,10
astro-ph.SR,astro-ph,2018-12,6,6
astro-ph.SR,astro-ph,2019-01,12,12
astro-ph.SR,astro-ph,2019-02,15,15
astro-ph.SR,astro-ph,2019-03,9,9
astro-ph.SR,astro-ph,2019-04,20,20
astro-ph.SR,astro-ph,2019-05,24,24
astro-ph.SR,astro-ph,2019-06,14,14
astro-ph.SR,astro-ph,2019-07,19,19
astro-ph.SR,astro-ph,2019-08,20,20
astro-ph.SR,astro-ph,2019-09,19,19
astro-ph.SR,astro-ph,2019-10,27,27
astro-ph.SR,astro-ph,2019-11,23,23
astro-ph.SR,astro-ph,2019-12,31,31
astro-ph.SR,astro-ph,2020-01,17,17
astro-ph.SR,astro-ph,2020-02,23,23
astro-ph.SR,astro-ph,2020-03,22,22
astro-ph.SR,astro-ph,2020-04,15,15
astro-ph.SR,astro-ph,2020-05,18,18
astro-ph.SR,astro-ph,2020-06,20,20
astro-ph.SR,astro-ph,2020-07,30,30
astro-ph.SR,astro-ph,2020-08,23,23
astro-ph.SR,astro-ph,2020-09,22,22
astro-ph.SR,astro-ph,2020-10,20,20
astro-ph.SR,astro-ph,2020-11,9,9
astro-ph.SR,astro-ph,2020-12,18,18
astro-ph.SR,astro-ph,2021-01,26,26
astro-ph.SR,astro-ph,2021-02,23,23
astro-ph.SR,astro-ph,2021-03,29,29
astro-ph.SR,astro-ph,2021-04,20,20
astro-ph.SR,astro-ph,2021-05,16,16
astro-ph.SR,astro-ph,2021-06,15,15
astro-ph.SR,astro-ph,2021-07,22,22
astro-ph.SR,astro-ph,2021-08,18,18
astro-ph.SR,astro-ph,2021-09,33,33
astro-ph.SR,astro-ph,2021-10,34,34
astro-ph.SR,astro-ph,2021-11,24,24
astro-ph.SR,astro-ph,2021-12,25,25
astro-ph.SR,astro-ph,2022-01,20,20
astro-ph.SR,astro-ph,2022-02,25,25
astro-ph.SR,astro-ph,2022-03,34,34
astro-ph.SR,astro-ph,2022-04,28,28
astro-ph.SR,astro-ph,2022-05,39,39
astro-ph.SR,astro-ph,2022-06,30,30
astro-ph.SR,astro-ph,2022-07,30,30
astro-ph.SR,astro-ph,2022-08,20,20
astro-ph.SR,astro-ph,2022-09,35,35
astro-ph.SR,astro-ph,2022-10,48,48
astro-ph.SR,astro-ph,2022-11,35,35
astro-ph.SR,astro-ph,2022-12,26,26
astro-ph.SR,astro-ph,2023-01,37,37
astro-ph.SR,astro-ph,2023-02,26,26
astro-ph.SR,astro-ph,2023-03,33,33
astro-ph.SR,astro-ph,2023-04,24,24
astro-ph.SR,astro-ph,2023-05,25,25
astro-ph.SR,astro-ph,2023-06,25,25
astro-ph.SR,astro-ph,2023-07,29,29
astro-ph.SR,astro-ph,2023-08,46,46
astro-ph.SR,astro-ph,2023-09,33,33
astro-ph.SR,astro-ph,2023-10,22,22
astro-ph.SR,astro-ph,2023-11,28,28
astro-ph.SR,astro-ph,2023-12,24,24
astro-ph.SR,astro-ph,2024-01,43,43
astro-ph.SR,astro-ph,2024-02,33,33
astro-ph.SR,astro-ph,2024-03,33,33
astro-ph.SR,astro-ph,2024-04,23,23
astro-ph.SR,astro-ph,2024-05,37,37
astro-ph.SR,astro-ph,2024-06,19,19
astro-ph.SR,astro-ph,2024-07,32,32
astro-ph.SR,astro-ph,2024-08,21,21
astro-ph.SR,astro-ph,2024-09,40,40
astro-ph.SR,astro-ph,2024-10,41,41
astro-ph.SR,astro-ph,2024-11,24,24
astro-ph.SR,astro-ph,2024-12,30,30
astro-ph.SR,astro-ph,2025-01,40,40
astro-ph.SR,astro-ph,2025-02,41,41
astro-ph.SR,astro-ph,2025-03,32,32
astro-ph.SR,astro-ph,2025-04,27,27
astro-ph.SR,astro-ph,2025-05,24,24
astro-ph.SR,astro-ph,2025-06,27,27
astro-ph.SR,astro-ph,2025-07,21,21
astro-ph.SR,astro-ph,2025-08,20,20
astro-ph.SR,astro-ph,2025-09,32,32
astro-ph.SR,astro-ph,2025-10,28,28
astro-ph.SR,astro-ph,2025-11,19,19
astro-ph.SR,astro-ph,2025-12,28,28
cond-mat.dis-nn,cond-mat,2018-01,9,9
cond-mat.dis-nn,cond-mat,2018-02,10,10
cond-mat.dis-nn,cond-mat,2018-03,12,12
cond-mat.dis-nn,cond-mat,2018-04,4,4
cond-mat.dis-nn,cond-mat,2018-05,8,8
cond-mat.dis-nn,cond-mat,2018-06,5,5
